Stock Code,Company,Year,移动互联网,移动互联,智能家居,物联网,电子商务,人工智能,大数据,云计算,区块链,工业互联网,人脸识别,网联,机器学习,深度学习,互联网医疗,金融科技
000002,万,科Ａ_,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
000002,万,科Ａ_,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000002,万,科Ａ_,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000002,万,科Ａ_,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
000002,万,科Ａ_,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
000004,S,T国华_,26,27,0,8,0,7,22,7,1,5,0,0,0,0,0,0
000004,S,T国华_,19,19,0,6,0,6,14,2,1,5,9,1,0,0,0,0
000004,国,华网安_,16,17,0,20,0,3,22,4,0,31,0,0,1,0,0,0
000004,国,华网安_,26,27,0,8,0,7,22,7,1,5,0,0,0,0,0,0
000004,国,华网安_,26,27,0,10,0,8,15,1,0,5,27,9,1,1,2,1
